ticker,date,open,high,low,close,volume,change_percent
AMZN,2009-04-01,3.65,4.33,3.59,4.03,3700000000,9.81
AMZN,2009-03-01,3.2,3.78,2.99,3.67,4550000000,13.27
AMZN,2009-02-01,2.93,3.37,2.91,3.24,3740000000,10.2
AMZN,2009-01-01,2.57,2.99,2.38,2.94,4090000000,14.84
AMZN,2008-12-01,2.1,2.74,1.94,2.56,4130000000,20.19
AMZN,2008-11-01,2.82,2.94,1.73,2.13,4570000000,-25.52
AMZN,2008-10-01,3.59,3.6,2.17,2.86,6640000000,-21.43
AMZN,2008-09-01,4.16,4.34,3.07,3.64,3850000000,-9.9
AMZN,2008-08-01,3.82,4.59,3.7,4.04,2980000000,5.76
AMZN,2008-07-01,3.61,4.12,3.15,3.82,4320000000,4.09
AMZN,2008-06-01,4.06,4.24,3.63,3.67,3070000000,-10.05
AMZN,2008-05-01,3.92,4.24,3.58,4.08,3050000000,3.82
AMZN,2008-04-01,3.65,4.13,3.53,3.93,3960000000,10.39
AMZN,2008-03-01,3.18,3.85,3.06,3.56,3850000000,10.56
AMZN,2008-02-01,3.95,3.97,3.2,3.22,4230000000,-17.01
AMZN,2008-01-01,4.77,4.87,3.44,3.88,5770000000,-16.2
AMZN,2007-12-01,4.5,4.8,4.19,4.63,2540000000,2.21
AMZN,2007-11-01,4.39,4.57,3.83,4.53,3600000000,1.57
AMZN,2007-10-01,4.67,5.05,4.16,4.46,4640000000,-4.29
AMZN,2007-09-01,4.0,4.71,3.99,4.66,2450000000,16.5
AMZN,2007-08-01,3.9,4.04,3.5,4.0,3510000000,1.78
AMZN,2007-07-01,3.44,4.45,3.4,3.93,5320000000,14.91
AMZN,2007-06-01,3.44,3.74,3.34,3.42,4790000000,-1.16
AMZN,2007-05-01,3.06,3.67,2.98,3.46,6610000000,12.7
AMZN,2007-04-01,1.99,3.19,1.98,3.07,6980000000,54.27
AMZN,2007-03-01,1.97,2.01,1.85,1.99,2850000000,1.53
AMZN,2007-02-01,1.9,2.1,1.83,1.96,3180000000,4.26
AMZN,2007-01-01,1.93,1.96,1.81,1.88,2610000000,-4.57
AMZN,2006-12-01,2.01,2.03,1.89,1.97,2430000000,-2.48
AMZN,2006-11-01,1.91,2.16,1.84,2.02,2940000000,6.32
AMZN,2006-10-01,1.6,1.93,1.53,1.9,4130000000,18.01
AMZN,2006-09-01,1.54,1.64,1.48,1.61,2920000000,4.55
AMZN,2006-08-01,1.33,1.55,1.29,1.54,3190000000,14.93
AMZN,2006-07-01,1.93,1.93,1.3,1.34,4590000000,-30.57
AMZN,2006-06-01,1.73,1.94,1.62,1.93,2300000000,11.56
AMZN,2006-05-01,1.76,1.82,1.58,1.73,2910000000,-1.7
AMZN,2006-04-01,1.83,1.94,1.75,1.76,2140000000,-3.83
AMZN,2006-03-01,1.87,1.89,1.76,1.83,2440000000,-2.14
AMZN,2006-02-01,2.2,2.23,1.85,1.87,3310000000,-16.52
AMZN,2006-01-01,2.37,2.43,2.15,2.24,2470000000,-5.08
AMZN,2005-12-01,2.44,2.5,2.36,2.36,2420000000,-2.48
AMZN,2005-11-01,2.0,2.47,1.98,2.42,4330000000,21.61
AMZN,2005-10-01,2.27,2.35,1.94,1.99,2960000000,-12.33
AMZN,2005-09-01,2.13,2.29,2.02,2.27,2100000000,6.57
AMZN,2005-08-01,2.24,2.35,2.1,2.13,2310000000,-5.75
AMZN,2005-07-01,1.66,2.29,1.64,2.26,3690000000,36.97
AMZN,2005-06-01,1.78,1.85,1.65,1.65,2130000000,-7.3
AMZN,2005-05-01,1.61,1.8,1.6,1.78,2340000000,9.88
AMZN,2005-04-01,1.73,1.77,1.53,1.62,3320000000,-5.26
AMZN,2005-03-01,1.75,1.82,1.64,1.71,2400000000,-2.84
AMZN,2005-02-01,2.15,2.18,1.66,1.76,4420000000,-18.52
AMZN,2005-01-01,2.25,2.27,2.01,2.16,3910000000,-2.26
META,2024-12-01,577.5,638.4,575.57,585.51,6020000,1.95
META,2024-11-01,567.6,599.66,549.05,574.32,237810000,1.19
META,2024-10-01,577.98,602.95,561.52,567.58,265910000,-0.85
META,2024-09-01,519.64,577.4,495.6,572.44,246450000,9.81
META,2024-08-01,521.0,544.23,450.8,521.31,323380000,9.79
META,2024-07-01,504.95,542.81,442.65,474.83,324020000,-5.83
META,2024-06-01,470.86,522.88,468.24,504.22,226950000,8.01
META,2024-05-01,428.6,482.5,427.11,466.83,282490000,8.52
META,2024-04-01,487.2,531.49,414.5,430.17,437300000,-11.41
META,2024-03-01,492.11,523.57,476.0,485.58,279210000,-0.93
META,2024-02-01,393.94,494.36,393.05,490.13,466260000,25.63
META,2024-01-01,351.32,406.36,340.01,390.14,346970000,10.22
META,2023-12-01,325.48,361.9,313.66,353.96,334630000,8.2
META,2023-11-01,301.85,342.92,301.85,327.15,329350000,8.59
META,2023-10-01,302.74,330.54,279.4,301.27,511370000,0.35
META,2023-09-01,299.37,312.87,286.79,300.21,406800000,1.46
META,2023-08-01,317.54,324.14,274.38,295.89,424630000,-7.13
META,2023-07-01,286.7,326.2,284.85,318.6,625340000,11.02
META,2023-06-01,265.9,289.79,258.88,286.98,481180000,8.41
META,2023-05-01,238.62,268.65,229.85,264.72,487170000,10.15
META,2023-04-01,208.84,241.68,207.13,240.32,446690000,13.39
META,2023-03-01,174.59,212.17,171.43,211.94,690450000,21.15
META,2023-02-01,148.03,197.16,147.06,174.94,772200000,17.43
META,2023-01-01,122.82,153.19,122.28,148.97,548770000,23.79
META,2022-12-01,119.2,124.67,112.46,120.34,653020000,1.9
META,2022-11-01,94.33,118.74,88.09,118.1,1060000000,26.77
META,2022-10-01,137.14,142.39,92.6,93.16,1110000000,-31.34
META,2022-09-01,163.58,171.39,134.12,135.68,635060000,-16.72
META,2022-08-01,157.25,183.1,155.23,162.93,551920000,2.41
META,2022-07-01,160.31,183.85,154.85,159.1,586550000,-1.33
META,2022-06-01,196.51,202.03,154.25,161.25,686380000,-16.73
META,2022-05-01,201.16,224.3,176.11,193.64,680550000,-3.41
META,2022-04-01,224.55,236.86,169.0,200.47,672300000,-9.84
META,2022-03-01,209.87,231.15,185.82,222.36,733290000,5.37
META,2022-02-01,314.55,328.0,190.22,211.03,1130000000,-32.63
META,2022-01-01,338.3,343.09,289.01,313.26,427350000,-6.86
META,2021-12-01,330.29,352.71,299.5,336.35,438300000,3.66
META,2021-11-01,326.04,353.83,323.2,324.46,441120000,0.28
META,2021-10-01,341.61,345.02,308.11,323.57,588380000,-4.66
META,2021-09-01,379.59,384.33,338.15,339.39,338130000,-10.54
META,2021-08-01,358.1,382.76,347.7,379.38,226150000,6.48
META,2021-07-01,346.82,377.55,334.5,356.3,335420000,2.47
META,2021-06-01,330.15,358.14,323.48,347.71,344810000,5.77
META,2021-05-01,326.17,333.78,298.19,328.73,353420000,1.12
META,2021-04-01,298.4,331.81,296.04,325.08,421280000,10.37
META,2021-03-01,260.82,299.7,253.5,294.53,497460000,14.33
META,2021-02-01,259.52,276.6,254.04,257.62,317780000,-0.27
META,2021-01-01,274.78,286.79,244.61,258.33,452700000,-5.43
META,2020-12-01,279.16,291.78,264.63,273.16,363960000,-1.38
META,2020-11-01,264.6,297.38,257.34,276.97,356800000,5.27
META,2020-10-01,265.35,285.24,254.82,263.11,454180000,0.46
META,2020-09-01,294.71,303.6,244.13,261.9,499180000,-10.68
META,2020-08-01,252.65,304.67,247.43,293.2,574310000,15.58
META,2020-07-01,228.5,255.85,226.9,253.67,517669999,11.71
META,2020-06-01,224.59,245.19,207.11,227.07,548040000,0.88
META,2020-05-01,201.6,240.9,198.76,225.09,509640000,9.96
META,2020-04-01,161.62,209.69,150.83,204.71,541540000,22.73
META,2020-03-01,194.03,197.24,137.1,166.8,649510000,-13.34
META,2020-02-01,203.44,218.76,181.82,192.47,317640000,-4.68
META,2020-01-01,206.75,224.2,201.06,201.91,348100000,-1.63
META,2019-12-01,202.13,208.93,193.17,205.25,278230000,1.79
META,2019-11-01,192.85,203.8,188.54,201.64,258579999,5.21
META,2019-10-01,179.15,198.09,173.09,191.65,330150000,7.62
META,2019-09-01,184.0,193.1,175.66,178.08,267510000,-4.09
META,2019-08-01,194.17,198.47,176.66,185.67,295180000,-4.41
META,2019-07-01,195.21,208.66,191.93,194.23,351060000,0.64
META,2019-06-01,175.0,194.53,160.84,193.0,426430000,8.75
META,2019-05-01,194.78,196.18,177.16,177.47,286820000,-8.24
META,2019-04-01,167.83,198.48,167.28,193.4,382180000,16.02
META,2019-03-01,162.6,174.3,159.28,166.69,388170000,3.25
META,2019-02-01,165.84,172.47,159.59,161.45,302240000,-3.14
META,2019-01-01,128.99,171.68,128.56,166.69,527559999,27.16
META,2018-12-01,143.0,147.19,123.02,131.09,558790000,-6.77
META,2018-11-01,151.52,154.13,126.85,140.61,518150000,-7.37
META,2018-10-01,163.03,165.88,139.03,151.79,622450000,-7.7
META,2018-09-01,173.5,173.89,158.87,164.46,500470000,-6.41
META,2018-08-01,173.93,188.3,170.27,175.73,549020000,1.83
META,2018-07-01,193.37,218.62,166.56,172.58,652760000,-11.19
META,2018-06-01,193.07,203.55,186.43,194.32,387270000,1.32
META,2018-05-01,172.0,192.72,170.23,191.78,401140000,11.5
META,2018-04-01,157.81,177.1,150.51,172.0,751130000,7.64
META,2018-03-01,179.01,186.1,149.02,159.79,996230000,-10.39
META,2018-02-01,188.22,195.32,167.18,178.32,516620000,-4.59
META,2018-01-01,177.68,190.66,175.8,186.89,495660000,5.91
META,2017-12-01,176.03,182.28,169.01,176.46,317100000,-0.41
META,2017-11-01,182.36,184.25,174.0,177.18,351000000,-1.6
META,2017-10-01,171.39,180.8,168.29,180.06,318150000,5.38
META,2017-09-01,172.4,174.0,161.56,170.87,304830000,-0.64
META,2017-08-01,169.82,173.05,165.0,171.97,303620000,1.61
META,2017-07-01,151.72,175.49,147.8,169.25,419910000,12.1
META,2017-06-01,151.75,156.5,144.56,150.98,414760000,-0.32
META,2017-05-01,151.74,153.6,144.42,151.46,403660000,0.81
META,2017-04-01,141.93,151.53,138.81,150.25,275590000,5.77
META,2017-03-01,136.47,142.95,136.08,142.05,342100000,4.8
META,2017-02-01,132.25,137.18,130.3,135.54,384700000,4.01
META,2017-01-01,116.03,133.14,115.51,130.32,379000000,13.27
META,2016-12-01,118.38,122.5,114.0,115.05,408730000,-2.85
META,2016-11-01,131.41,131.94,113.55,118.42,654600000,-9.6
META,2016-10-01,128.38,133.5,126.75,130.99,313280000,2.12
META,2016-09-01,126.38,131.98,125.6,128.27,376580000,1.7
META,2016-08-01,123.85,126.73,122.07,126.12,365670000,1.76
META,2016-07-01,114.2,128.33,112.97,123.94,470110000,8.45
META,2016-06-01,118.5,119.44,108.23,114.28,451160000,-3.81
META,2016-05-01,117.83,121.08,114.8,118.81,460560000,1.05
META,2016-04-01,113.75,120.79,106.31,117.58,741610000,3.05
META,2016-03-01,107.83,116.99,104.4,114.1,521559999,6.72
META,2016-02-01,112.27,117.59,96.82,106.92,874150000,-4.71
META,2016-01-01,101.95,112.84,89.37,112.21,792710000,7.21
META,2015-12-01,104.83,107.92,101.46,104.66,440480000,0.4
META,2015-11-01,102.46,110.65,100.47,104.24,547230000,2.23
META,2015-10-01,90.05,105.12,88.36,101.97,571990000,13.43
META,2015-09-01,86.85,96.49,85.72,89.9,635400000,0.53
META,2015-08-01,93.53,98.74,72.0,89.43,709960000,-4.87
META,2015-07-01,86.77,99.24,85.23,94.01,790780000,9.61
META,2015-06-01,79.3,89.4,78.66,85.76,537960000,8.3
META,2015-05-01,79.24,81.85,76.79,79.19,421870000,0.53
META,2015-04-01,82.5,85.59,78.32,78.77,542120000,-4.19
META,2015-03-01,79.0,86.07,77.26,82.21,575350000,4.11
META,2015-02-01,76.11,81.37,73.45,78.97,475150000,4.03
META,2015-01-01,78.58,79.25,73.54,75.91,546210000,-2.7
META,2014-12-01,77.26,82.17,74.4,78.02,534690000,0.41
META,2014-11-01,75.47,78.27,72.51,77.7,491020000,3.61
META,2014-10-01,78.78,81.16,70.32,74.99,1080000000,-5.12
META,2014-09-01,75.01,79.71,73.07,79.04,721090000,5.64
META,2014-08-01,72.22,75.99,71.55,74.82,590830000,2.99
META,2014-07-01,67.58,76.74,62.21,72.65,1030000000,7.97
META,2014-06-01,63.23,68.0,61.79,67.29,863490000,6.3
META,2014-05-01,60.43,64.3,56.26,63.3,1120000000,5.89
META,2014-04-01,60.46,63.91,54.66,59.78,1880000000,-0.76
META,2014-03-01,66.96,72.59,57.98,60.24,1260000000,-12.01
META,2014-02-01,63.03,71.44,60.7,68.46,1120000000,9.41
META,2014-01-01,54.83,63.37,51.85,62.57,1300000000,14.49
META,2013-12-01,46.9,58.58,46.26,54.65,1520000000,16.25
META,2013-11-01,50.85,52.09,43.55,47.01,1360000000,-6.36
META,2013-10-01,49.97,54.83,45.26,50.21,2029999999,-0.05
META,2013-09-01,41.84,51.6,41.44,50.23,1580000000,21.64
META,2013-08-01,37.3,42.26,36.02,41.29,1350000000,12.21
META,2013-07-01,24.97,38.31,24.15,36.8,1440000000,47.91
META,2013-06-01,24.26,25.19,22.67,24.88,788390000,2.18
META,2013-05-01,27.85,29.07,23.26,24.35,982140000,-12.32
META,2013-04-01,25.63,28.1,25.15,27.77,738540000,8.56
META,2013-03-01,27.05,28.67,24.72,25.58,727180000,-6.13
META,2013-02-01,31.01,31.02,26.34,27.25,957660000,-12.04
META,2013-01-01,27.44,32.51,27.42,30.98,1680000000,16.38
META,2012-12-01,28.0,28.88,25.15,26.62,1190000000,-4.93
META,2012-11-01,21.08,28.0,18.87,28.0,1530000000,32.64
META,2012-10-01,22.08,24.25,18.8,21.11,1100000000,-2.54
META,2012-09-01,18.08,23.37,17.55,21.66,1060000000,19.95
META,2012-08-01,21.5,22.45,18.03,18.06,1150000000,-16.82
META,2012-07-01,31.25,32.88,21.61,21.71,520230000,-30.18
META,2012-06-01,28.89,33.45,25.52,31.09,667980000,5.05
TSLA,2024-12-01,352.38,488.54,348.2,403.84,1900000000,17.0
TSLA,2024-11-01,252.04,361.93,238.88,345.16,2089999999,38.15
TSLA,2024-10-01,262.67,273.54,212.11,249.85,1910000000,-4.5
TSLA,2024-09-01,215.26,264.86,209.64,261.63,1610000000,22.19
TSLA,2024-08-01,227.69,231.87,182.0,214.11,1620000000,-7.74
TSLA,2024-07-01,201.02,271.0,200.85,232.07,2950000000,17.28
TSLA,2024-06-01,178.13,203.2,167.41,197.88,1410000000,11.12
TSLA,2024-05-01,182.0,187.56,167.75,178.08,1670000000,-2.84
TSLA,2024-04-01,176.17,198.87,138.8,183.28,2480000000,4.26
TSLA,2024-03-01,200.52,204.52,160.51,175.79,1900000000,-12.92
TSLA,2024-02-01,188.5,205.6,175.01,201.88,2020000000,7.79
TSLA,2024-01-01,250.08,251.25,180.06,187.29,2340000000,-24.63
TSLA,2023-12-01,233.14,265.13,228.2,248.48,2300000000,3.5
TSLA,2023-11-01,204.04,252.75,197.85,240.08,2650000000,19.54
TSLA,2023-10-01,244.81,268.94,194.07,200.84,2590000000,-19.73
TSLA,2023-09-01,257.26,278.98,234.58,250.22,2440000000,-3.05
TSLA,2023-08-01,266.26,266.47,212.36,258.08,2500000000,-3.5
TSLA,2023-07-01,276.49,299.29,254.12,267.43,2390000000,2.16
TSLA,2023-06-01,202.59,276.99,199.37,261.77,3440000000,28.36
TSLA,2023-05-01,163.17,204.48,158.83,203.93,2680000000,24.11
TSLA,2023-04-01,199.91,202.69,152.37,164.31,2510000000,-20.8
TSLA,2023-03-01,206.21,207.79,163.91,207.46,3310000000,0.85
TSLA,2023-02-01,173.89,217.65,169.93,205.71,3630000000,18.76
TSLA,2023-01-01,118.47,180.68,101.81,173.22,3900000000,40.62
TSLA,2022-12-01,197.08,198.92,108.24,123.18,2940000000,-36.73
TSLA,2022-11-01,234.05,237.4,166.18,194.7,1890000000,-14.43
TSLA,2022-10-01,254.5,257.5,198.59,227.54,1740000000,-14.22
TSLA,2022-09-01,272.58,313.8,262.47,265.25,1300000000,-3.76
TSLA,2022-08-01,301.27,314.67,271.81,275.61,1700000000,-7.25
TSLA,2022-07-01,227.0,298.32,216.17,297.15,1750000000,32.38
TSLA,2022-06-01,251.72,264.21,208.69,224.47,2009999999,-11.19
TSLA,2022-05-01,286.92,318.5,206.86,252.75,1950000000,-12.92
TSLA,2022-04-01,360.38,384.29,273.9,290.25,1520000000,-19.19
TSLA,2022-03-01,289.89,371.59,252.01,359.2,1730000000,23.8
TSLA,2022-02-01,311.74,315.92,233.33,290.14,1390000000,-7.08
TSLA,2022-01-01,382.58,402.67,264.0,312.24,1920000000,-11.36
TSLA,2021-12-01,386.9,390.95,295.37,352.26,1530000000,-7.69
TSLA,2021-11-01,381.67,414.5,326.2,381.59,1950000000,2.76
TSLA,2021-10-01,259.47,371.74,254.53,371.33,1590000000,43.65
TSLA,2021-09-01,244.69,266.33,236.28,258.49,1170000000,5.4
TSLA,2021-08-01,233.33,246.8,216.28,245.24,1150000000,7.06
TSLA,2021-07-01,227.97,233.33,206.82,229.07,1350000000,1.1
TSLA,2021-06-01,209.27,232.54,190.41,226.57,1560000000,8.71
TSLA,2021-05-01,234.6,235.33,182.33,208.41,1880000000,-11.87
TSLA,2021-04-01,229.46,260.26,219.81,236.48,2040000000,6.21
TSLA,2021-03-01,230.04,240.37,179.83,222.64,2830000000,-1.12
TSLA,2021-02-01,271.43,293.5,206.33,225.17,1570000000,-14.87
TSLA,2021-01-01,239.82,300.13,239.06,264.51,2120000000,12.45
TSLA,2020-12-01,199.2,239.57,180.4,235.22,3590000000,24.33
TSLA,2020-11-01,131.33,202.6,130.77,189.2,2350000000,46.27
TSLA,2020-10-01,146.92,155.3,126.37,129.35,2500000000,-9.55
TSLA,2020-09-01,167.38,167.5,109.96,143.0,5210000000,-13.91
TSLA,2020-08-01,96.61,166.71,91.0,166.11,4670000000,74.15
TSLA,2020-07-01,72.2,119.67,72.03,95.38,5680000000,32.5
TSLA,2020-06-01,57.2,72.51,56.94,71.99,3840000000,29.32
TSLA,2020-05-01,50.33,56.22,45.54,55.67,4090000000,6.79
TSLA,2020-04-01,33.6,57.99,29.76,52.13,5720000000,49.21
TSLA,2020-03-01,47.42,53.8,23.37,34.93,6320000000,-21.56
TSLA,2020-02-01,44.91,64.6,40.77,44.53,7100000000,2.68
TSLA,2020-01-01,28.3,43.53,28.11,43.37,6120000000,55.52
TSLA,2019-12-01,21.96,29.02,21.82,27.89,3110000000,26.79
TSLA,2019-11-01,21.09,24.08,20.62,22.0,2370000000,4.77
TSLA,2019-10-01,16.1,22.72,14.95,20.99,3530000000,30.74
TSLA,2019-09-01,14.94,16.9,14.56,16.06,2049999999,6.76
TSLA,2019-08-01,16.18,16.3,14.07,15.04,2009999999,-6.62
TSLA,2019-07-01,15.35,17.74,14.81,16.11,2990000000,8.12
TSLA,2019-06-01,12.37,15.65,11.8,14.9,3220000000,20.68
TSLA,2019-05-01,15.92,17.22,12.27,12.34,4240000000,-22.43
TSLA,2019-04-01,18.84,19.74,15.41,15.91,3460000000,-14.71
TSLA,2019-03-01,20.46,20.48,16.96,18.66,3210000000,-12.51
TSLA,2019-02-01,20.36,21.62,19.25,21.33,1930000000,4.19
TSLA,2019-01-01,20.41,23.47,18.62,20.47,2630000000,-7.75
TSLA,2018-12-01,24.0,25.3,19.61,22.19,2200000000,-5.04
TSLA,2018-11-01,22.55,24.45,21.67,23.37,2000000000,3.9
TSLA,2018-10-01,20.38,23.14,16.52,22.49,4300000000,27.4
TSLA,2018-09-01,19.8,21.0,16.82,17.65,2940000000,-12.23
TSLA,2018-08-01,19.87,25.83,19.21,20.11,4160000000,1.18
TSLA,2018-07-01,24.0,24.32,19.08,19.88,2590000000,-13.07
TSLA,2018-06-01,19.06,24.92,18.92,22.86,3200000000,20.45
TSLA,2018-05-01,19.57,20.87,18.23,18.98,2330000000,-3.12
TSLA,2018-04-01,17.08,20.63,16.31,19.59,2860000000,10.43
TSLA,2018-03-01,23.0,23.24,16.55,17.74,2360000000,-22.42
TSLA,2018-02-01,23.4,24.0,19.65,22.87,1640000000,-3.18
TSLA,2018-01-01,20.8,24.03,20.38,23.62,1860000000,13.8
TSLA,2017-12-01,20.36,23.16,20.0,20.76,1650000000,0.81
TSLA,2017-11-01,22.15,22.17,19.51,20.59,2230000000,-6.84
TSLA,2017-10-01,22.83,24.2,21.11,22.1,1850000000,-2.81
TSLA,2017-09-01,23.74,25.97,22.36,22.74,1670000000,-4.16
TSLA,2017-08-01,21.53,24.67,20.75,23.73,2049999999,10.03
TSLA,2017-07-01,24.68,24.76,20.21,21.56,2720000000,-10.55
TSLA,2017-06-01,22.93,25.8,22.28,24.11,2790000000,6.04
TSLA,2017-05-01,20.99,22.86,19.38,22.73,2220000000,8.58
TSLA,2017-04-01,19.13,20.99,18.97,20.94,1750000000,12.85
TSLA,2017-03-01,16.95,18.8,16.19,18.55,1610000000,11.32
TSLA,2017-02-01,16.87,19.16,16.13,16.67,1790000000,-0.77
TSLA,2017-01-01,14.32,17.23,14.06,16.8,1510000000,17.89
